cpd08615:	C5H10O8P2
cpd00355:	C11H14N2O8P
cpd00012:	HO
cpd02097:	NO
cpd02720:	C9H15N4O9P
cpd00931:	C9H13N4O9P
cpd02828:	C8H6O6
cpd02572:	C8H5O7
cpd00361:	C4H8O2
cpd01947:	C4H10O2
cpd01949:	C4H10O2
cpd17083:	C13H7N2O2
cpd17044:	C12H8N2O
cpd17053:	C14H11N2O2
cpd01206:	C13H11N2O
cpd00408:	C6H11O4
cpd00712:	C6H9O4
cpd00641:	C6H12N3O
cpd00119:	C6H9N3O2
cpd00202:	C5H10O7P2
cpd00113:	C5H10O7P2
cpd00050:	C17H19N4O9P
cpd00223:	C3H5O4
cpd00145:	C3H3O4
cpd12227:	C25H34N6O19P2R2
cpd02345:	NO
cpd11912:	C10H12N5O3R
cpd00668:	C5H7O4
cpd02498:	C5H9O4
cpd00498:	C6H9O4
cpd02535:	C6H11O4
cpd02465:	NO
cpd02120:	NO
cpd00638:	C21H24N6O15P2
cpd00018:	C10H12N5O7P
cpd02113:	C16H24N2O15P2
cpd00522:	C16H22N2O15P2
cpd00117:	NO
cpd17049:	NO
cpd00085:	NO
cpd11311:	C4H8N
cpd00055:	CH
cpd01999:	C16H23N5O15P2
cpd00900:	C16H21N5O15P2
cpd02089:	C5H7O3
cpd00379:	C5H6O4
cpd00161:	NO
cpd02211:	NO
cpd00231:	C9H13N5O3
cpd00233:	C9H15N5O3
cpd00870:	NO
cpd00266:	NO
cpd07061:	NO
cpd15326:	C19H36O7P
cpd11493:	HS
cpd15525:	C35H64O8P
cpd15327:	C19H38O7P
cpd15524:	C35H68O8P
cpd15328:	C21H40O7P
cpd15527:	C39H72O8P
cpd15329:	C21H41O7P
cpd15526:	C39H76O8P
cpd15330:	C17H32O7P
cpd15523:	C31H56O8P
cpd15325:	C15H29O7P
cpd15521:	C27H52O8P
cpd15331:	C17H33O7P
cpd15522:	C31H60O8P
cpd11434:	C38H65N7O17P3S
cpd15672:	C20H40O7P
cpd15678:	C37H72O8P
cpd11439:	C36H61N7O17P3S
cpd15675:	C18H36O7P
cpd15681:	C33H64O8P
cpd11432:	C38H65N7O17P3S
cpd15671:	C20H40O7P
cpd15677:	C37H72O8P
cpd11441:	C37H63N7O17P3S
cpd15676:	C19H38O7P
cpd15682:	C35H68O8P
cpd11437:	C36H61N7O17P3S
cpd15674:	C18H36O7P
cpd15680:	C33H64O8P
cpd11435:	C35H59N7O17P3S
cpd15673:	C17H34O7P
cpd15679:	C31H60O8P
cpd00327:	C39H66N7O17P3S
cpd11574:	MoO
cpd00118:	C4H14N2
cpd00051:	C6H15N4O2
cpd00216:	C10H8O6
cpd00093:	NO
cpd00107:	NO
cpd01772:	C11H8O5
cpd02021:	C32H39N7O20P3S
cpd17077:	NO
cpd11596:	C4H9O3S
cpd02090:	C6H14O8P
cpd03847:	C14H27O2
cpd00214:	C16H31O2
cpd11430:	C14H27O2
cpd11438:	C15H29O2
cpd11436:	C15H29O2
cpd11440:	C16H31O2
cpd11433:	C17H33O2
cpd11431:	C17H33O2
cpd15237:	C16H29O2
cpd15238:	C37H61N7O17P3S
cpd01080:	C18H35O2
cpd15269:	C18H33O2
cpd15274:	C39H65N7O17P3S
cpd04099:	H2O3P
cpd11492:	C3H2O3S
cpd11494:	OS
cpd00052:	C9H13N3O14P3
cpd15684:	C46H83N3O15P2
cpd15687:	C42H75N3O15P2
cpd15417:	C36H63N3O15P2
cpd15423:	C40H71N3O15P2
cpd15422:	C40H67N3O15P2
cpd15418:	C44H75N3O15P2
cpd15421:	C48H87N3O15P2
cpd15420:	C48H83N3O15P2
cpd15683:	C46H83N3O15P2
cpd15688:	C44H79N3O15P2
cpd15686:	C42H75N3O15P2
cpd15685:	C40H71N3O15P2
cpd00058:	Cu
cpd04097:	Pb
cpd00531:	Hg
cpd00338:	NO
cpd03560:	C13H17N5O8P
cpd00141:	C3H5O2
cpd00247:	C5H3N2O4
cpd00021:	Fe
cpd15723:	C40H78O10P
cpd15795:	C77H148O17P2
cpd15726:	C36H70O10P
cpd15798:	C69H132O17P2
cpd15722:	C40H78O10P
cpd15794:	C77H148O17P2
cpd15727:	C38H74O10P
cpd15799:	C73H140O17P2
cpd15725:	C36H70O10P
cpd15797:	C69H132O17P2
cpd15724:	C34H66O10P
cpd15796:	C65H124O17P2
cpd15536:	C34H66O10P
cpd15792:	C65H124O17P2
cpd15538:	C38H74O10P
cpd15791:	C73H140O17P2
cpd15540:	C42H82O10P
cpd15793:	C81H156O17P2
cpd11422:	PR
cpd00807:	C6H11N3O4P
cpd17046:	C12H23O2X
cpd17068:	C56H102N2O23P2
cpd17066:	C80H146N2O25P2
cpd00054:	NO
cpd02210:	NO
cpd00065:	C11H12N2O2
cpd00132:	C4H8N2O3
cpd00048:	O4S
cpd00856:	C7H3O6
cpd00308:	C3H2O4
cpd00971:	Na
cpd00938:	C7H4O6
cpd02255:	C6H5O4
cpd00426:	C8H7O4
cpd03443:	C47H69O3
cpd03444:	C46H70O
cpd00268:	HO
cpd00152:	C5H16N4
cpd00073:	CH
cpd00381:	C6H12N2O4S2
cpd00305:	OS
cpd01092:	C4H6N4O3
cpd00307:	C4H5N3O
cpd00182:	C10H13N5O4
cpd00367:	C9H13N3O5
cpd00438:	C10H13N5O3
cpd00654:	C9H13N3O4
cpd00246:	C10H12N4O5
cpd00184:	C10H14N2O5
cpd00249:	C9H12N2O6
cpd00277:	C10H13N5O4
cpd03279:	C10H12N4O4
cpd00412:	C9H12N2O5
cpd00774:	C40H36N4O16
cpd00109:	FeN
cpd00418:	NO
cpd00110:	FeN
cpd00659:	N2O
cpd00954:	C7H9N5O2
cpd02920:	C7H8N5O8P2
cpd00137:	C6H5O7
cpd00196:	C2H3O5P
cpd00066:	NO
cpd00143:	C9H7O3
cpd00869:	C5H7O3S
cpd00380:	C5H4O4
cpd01502:	C5H4O4
cpd00201:	C20H21N7O7
cpd02394:	C7H14N2O8P
cpd02678:	C8H13N2O9P
cpd00183:	NO
cpd00040:	HO
cpd00187:	CH
cpd00035:	NO
cpd00241:	C10H13N5O13P3
cpd00421:	HO
cpd00038:	C10H13N5O14P3
cpd00311:	C10H13N5O5
cpd00177:	C10H13N5O9P2
cpd00096:	C9H13N3O11P2
cpd00533:	C9H13N3O10P2
cpd00031:	C10H13N5O11P2
cpd00295:	C10H13N5O10P2
cpd00014:	C9H12N2O12P2
cpd00978:	C9H12N2O11P2
cpd00209:	NO
cpd01646:	C7H10O5
cpd00033:	NO
cpd02039:	NO
cpd03917:	CoN
cpd03918:	CoN
cpd00034:	Zn
cpd00092:	C4H4N2O2
cpd00207:	C5H5N5O
cpd15499:	C51H74O2
cpd15500:	C51H72O2
cpd00416:	C26H35N7O19P3S
cpd00763:	C8H6O6
cpd00780:	C8H6O6
cpd00061:	C3H2O6P
cpd02857:	C7H10O10P
cpd00331:	C6H3O6
cpd11608:	C4H6N2O3R2
cpd00658:	C10H8O6
cpd02566:	C7H7O4
cpd00105:	C5H10O5
cpd01242:	C5H10O4
cpd00154:	C5H10O5
cpd00224:	C5H10O5
cpd00630:	C6H6O5
cpd01507:	C27H37N7O20P3S
cpd00242:	CHO
cpd02068:	C27H37N7O19P3S
cpd00550:	NO
cpd00059:	C6H7O6
cpd00722:	NO
cpd15428:	C73H140O17P2
cpd15539:	C38H70O10P
cpd15429:	C73H132O17P2
cpd15430:	C81H156O17P2
cpd15541:	C42H78O10P
cpd15431:	C81H148O17P2
cpd11640:	H2
cpd00446:	C10H11N5O6P
cpd00138:	C6H12O6
cpd01262:	C18H32O16
cpd00588:	C6H14O6
cpd11576:	NO
cpd01914:	NO
cpd00069:	NO
cpd02095:	C4H11N2O2
cpd00039:	C6H15N2O2
cpd00030:	Mn
cpd11830:	ORS
cpd00016:	NO
cpd00493:	C8H12N2O5P
cpd01012:	Cd
cpd00046:	C9H12N3O8P
cpd03424:	PR
cpd11718:	RS
cpd11722:	RS
cpd00259:	C5H10O5
cpd00198:	C5H9O8P
cpd01710:	C7H8O4
cpd02711:	C6H8O9P
cpd00043:	C15H22N2O17P2
cpd02991:	C15H21N5O15P2
cpd02851:	C9H13N4O8P
cpd02843:	C6H9N2O6P
cpd17100:	C81H137N5O28P4
cpd17065:	C156H274N4O95P5
cpd02229:	C55H90O7P2
cpd17057:	C182H322N9O116P7
cpd17094:	C17H27N4O17P2
cpd17095:	C19H29N4O18P2
cpd00727:	C2H2O6P
cpd00344:	C6H9N2O4
cpd00378:	NO
cpd01329:	C36H62O31
cpd02978:	C9H12N5O13P3
cpd11579:	C2H5O3S
cpd11578:	C6H13O3S
cpd08023:	CH
cpd11575:	NO
cpd09878:	C2H2O5S
cpd02182:	C13H20N3O8S
cpd00428:	C3H4O2
cpd00146:	NO
cpd00274:	C6H13N3O3
cpd11949:	C6H7O6R2
cpd17075:	C12H16O12
cpd17074:	C14H18O13
cpd00802:	C6H11O9P
cpd00070:	C24H33N7O19P3S
cpd15419:	C44H79N3O15P2
cpd00122:	NO
cpd00293:	NO
cpd00210:	NO
cpd00162:	NO
cpd00957:	C9H14N5O8P
cpd02656:	C13H17N4O6
cpd02882:	C9H16N4O6
cpd00220:	C17H19N4O6
cpd00666:	C4H4O6
cpd11751:	C10H12N5O3R
cpd12194:	C29H37N6O18P2R2
cpd03726:	FeN
cpd17073:	NO
cpd00532:	O2
cpd02894:	C6H9N3O7P2
cpd02654:	PS
cpd00793:	PS
cpd00193:	PS
cpd00930:	C6H7N2O5P
cpd00244:	Ni
cpd11593:	C7H11N2O5
cpd11587:	C8H15N3O4
cpd11586:	C8H13N2O5
cpd11585:	C5H10N2O3
cpd11584:	C9H14N4O3
cpd11583:	C9H18N2O3
cpd11582:	C7H14N2O4
cpd01017:	C5H10N2O3S
cpd11581:	C6H11N3O4
cpd11589:	C6H9N2O5
